系统编码,物料名称,规格,参数1,参数2,参数3,单位名称,1-3个月,3-6个月,6-12个月,12个月以上,单价
122-911,硅钢片,B35P250 0.35*20*50,0.35,20,50,kg,0,0,0,10,7.844828
122-915,硅钢片,B35P250  0.35*40*53mm,0.35,40,53,kg,0,0,4,0,7.433628
122-928,硅钢片,B35P250 0.35*110*205mm,0.35,110,205,kg,0,0,0,13.5,7.264957
122-929,硅钢片,B35P250 0.35*110*300mm,0.35,110,300,kg,0,0,0,7,7.264957
122-931,硅钢片,B35P250 0.35*30*475mm  3-Φ11,0.35,30,475,kg,0,0,0,7.5,8.119658
122-932,硅钢片,B35P250 0.35*30*360mm 2-Φ11,0.35,30,360,kg,0,0,0,8.6,8.119658
122-937,硅钢片,B35P250 0.35*80*207.5mm,0.35,80,207,kg,0,0,0,70,7.948718
122-947,硅钢片,B35A250 0.35*50*330mm 3φ9,0.35,50,330,kg,4,0,0,0,7.522124
122-949,硅钢片,B35A2500.35*50*250mm,0.35,50,250,kg,9.5,0,0,0,7.522124
122-951,硅钢片,B35A250 0.35*60*250mm 3-φ12,0.35,60,250,kg,221,0,0,0,7.256637
122-982,硅钢片,B35A250?0.35*75*42.5mm,0.35,75,42.5,kg,0,0,24,0,7.241379
122-988,硅钢片,B35A250  0.35*270*70mm 2-Φ11,0.35,270,70,kg,0,4,0,0,7.433628
122-999,硅钢片,B35A250 0.35*90*30.5mm,0.35,90,30.5,kg,0,0,0,62.5,7.179487
133-038,硅钢片,B30P120 0.3*70*44mm,0.3,70,44,kg,0,0,0,10.5,11.367521
133-040,硅钢片,B30P120 0.3*90*540,0.3,90,540,kg,0,0,0,4,13.793103
133-042,硅钢片,B30P120 0.3*90*420,0.3,90,420,kg,0,0,0,5,13.793103
133-051,硅钢片,B30P120 0.3*80*39mm,0.3,80,39,kg,230,42,0,0,13.716814
133-052,硅钢片,B30P120 0.3*80*51.5mm,0.3,80,51.5,kg,10,12.5,0,0,13.716814
133-064,硅钢片,B30P120 0.3*60*425mm,0.3,60,425,kg,0,0,0,34,11.367521
133-065,硅钢片,B30P120 0.3*60*280mm,0.3,60,280,kg,0,0,0,17,11.367521
133-070,硅钢片,B30P120 0.3*110*235mm,0.3,110,235,kg,0,0,0,9,12.222222
133-071,硅钢片,B30P120 0.3*110*640mm,0.3,110,640,kg,0,0,0,7.5,12.222222
133-072,硅钢片,B30P120 0.3*110*360mm,0.3,110,360,kg,0,0,0,17,12.222222
133-073,硅钢片,B30P120 0.3*135*635mm,0.3,135,635,kg,0,0,0,88,13.793103
133-074,硅钢片,B30P120 0.3*145*160mm,0.3,145,160,kg,0,0,0,11,13.793103
133-075,硅钢片,B30P120 0.3*160*730mm,0.3,160,730,kg,0,0,0,30.5,13.793103
133-076,硅钢片,B30P120?0.3*70*410mm,0.3,70,410,kg,0,0,0,5,13.793103
133-087,硅钢片,B30P120 135*315*0.3mm,135,315,0.3,kg,0,0,0,17,13.793103
133-088,硅钢片,B30P120 135*495*0.3mm,135,495,0.3,kg,0,0,0,13,13.793103
133-089,硅钢片,B30P120 135*500*0.3mm,135,500,0.3,kg,0,0,0,31,13.793103
133-091,硅钢片,B30P120 0.3*120*860mm 1-φ16,0.3,120,860,kg,0,0,10,0,13.793103
133-092,硅钢片,B30P120 0.3*120*315mm 1-φ16,0.3,120,315,kg,0,0,5,0,13.793103
144-004,硅钢片,27JGH110 0.27*80*440 3-φ14,0.27,80,440,kg,0,0,0,10,12.393162
144-036,硅钢片,27JGH110 0.27*100*32,0.27,100,32,kg,0,0,0,6,13.504274
144-039,硅钢片,27JGH110 0.27*50*45,0.27,50,45,kg,26,0,0,0,14.778761
144-059,硅钢片,27JGH110 0.27*75*40mm,0.27,75,40,kg,0,0,0,7,12.393162
144-060,硅钢片,27JGH110 0.27*75*395mm 3-Ф14,0.27,75,395,kg,0,0,0,9,12.393162
144-090,硅钢片,27JGH110 0.27*100*500mm,0.27,100,500,kg,780,0,0,0,14.778761
144-093,硅钢片,27JGH110 0.27*50*41.5mm,0.27,50,41.5,kg,0,0,24,0,14.778761
144-104,硅钢片,B27P110 0.27*80*34.5mm,0.27,80,34.5,kg,0,0,20,0,14.778761
144-108,硅钢片,B27P110 0.27*40*130mm,0.27,40,130,kg,0,0,19,0,14.482759
144-136,硅钢片,B27P110 0.27*100*17.5mm,0.27,100,17.5,kg,405,0,0,0,14.778761
144-137,硅钢片,B27P110 0.27*100*25mm,0.27,100,25,kg,0,1,139,0,14.778761
144-138,硅钢片,B27P110 0.27*100*350mm,0.27,100,350,kg,0,0,0,10,13.504274
144-142,硅钢片,B27P110 0.27*60*190mm 2-Ф12,0.27,60,190,kg,0,0,0,12,13.504274
144-158,硅钢片,B27P110 0.27*30*150mm,0.27,30,150,kg,9,0,0,0,14.778761
144-159,硅钢片,B27P110 0.27*30*35.5mm,0.27,30,35.5,kg,8,0,0,0,14.778761
144-168,硅钢片,B27P120 0.27*80*32.5mm,0.27,80,32.5,kg,0,0,0,12,12.393162
144-184,硅钢片,B27P110 0.27*50*320mm 3-φ12,0.27,50,320,kg,0,0,0,49,13.504274
144-198,硅钢片,B27P110 0.27*30*80mm,0.27,30,80,kg,0,0,40,0,14.778761
144-199,硅钢片,B27P110 0.27*70*420mm,0.27,70,420,kg,0,0,22,0,14.778761
144-211,硅钢片,B27P110 0.27*40*65mm,0.27,40,65,kg,0,0,73,0,22.413793
144-212,硅钢片,B27P110 0.27*30*53mm,0.27,30,53,kg,0,0,91,0,22.413793
144-213,硅钢片,B27P110 0.27*40*200mm,0.27,40,200,kg,0,3,20,0,14.396552
144-214,硅钢片,B27P110 0.27*30*90mm,0.27,30,90,kg,0,0,18,0,14.396552
144-216,硅钢片,B27P110 0.27*90*640mm,0.27,90,640,kg,0,285,0,0,14.778761
144-217,硅钢片,B27P110?0.27*90*260mm,0.27,90,260,kg,0,40,0,0,14.778761
144-218,硅钢片,B27P110?0.27*90*175mm,0.27,90,175,kg,2,52,0,0,14.778761
144-219,硅钢片,B27P110?0.27*90*440mm,0.27,90,440,kg,2,41,0,0,14.778761
144-222,硅钢片,B27P110?0.27*90*46mm,0.27,90,46,kg,0,63.5,0,0,14.778761
144-232,硅钢片,B27P110 0.27*280*50mm 3-φ14,0.27,280,50,kg,60,0,0,0,14.778761
144-236,硅钢片,B27P110 0.27*40*130mm 2-φ9,0.27,40,130,kg,0,0,23,0,#N/A
144-238,硅钢片,B27P110 0.27*40*160mm 2-φ9,0.27,40,160,kg,48,0,0,0,14.778761
144-252,硅钢片,B27P110 0.27*50*310mm 3-φ11,0.27,50,310,kg,0,84,0,0,14.778761
144-257,硅钢片,B27P110 0.27*70*380mm 3-φ14,0.27,70,380,kg,0,0,0,7,12.393162
144-273,硅钢片,B27P110 0.27*60*170mm,0.27,60,170,kg,0,0,0,13,14.102564
144-274,硅钢片,B27P110 0.27*75*545mm φ14,0.27,75,545,kg,0,0,0,700,14.482759
144-275,硅钢片,B27P110 0.27*75*315mm φ14,0.27,75,315,kg,0,0,0,138,14.482759
144-276,硅钢片,B27P110 0.27*75*195mm φ14,0.27,75,195,kg,0,0,0,172,14.482759
144-277,硅钢片,B27P110 0.27*75*29.5mm,0.27,75,29.5,kg,0,0,0,104,14.482759
144-279,硅钢片,B27P110 0.27*75*465mm 3-φ14,0.27,75,465,kg,0,0,0,78,14.482759
144-280,硅钢片,B27P110 0.27*30*37mm,0.27,30,37,kg,0,0,158,0,14.778761
144-281,硅钢片,B27P110 0.27*30*170mm 3-φ10,0.27,30,170,kg,17,0,161,0,14.778761
144-287,硅钢片,B27P110 0.27*30*220mm,0.27,30,220,kg,0,7,0,0,14.778761
144-288,硅钢片,B27P110 0.27*40*220mm,0.27,40,220,kg,0,4,0,0,14.482759
144-290,硅钢片,B27P110 0.27*30*160mm,0.27,30,160,kg,0,5,0,0,14.482759
144-293,硅钢片,B27P110 0.27*80*330,0.27,80,330,kg,0,0,0,295,14.482759
144-295,硅钢片,B27P110 0.27*100*53.5mm,0.27,100,53.5,kg,17,0,0,0,14.778761
144-296,硅钢片,B27P110 0.27*30*74mm,0.27,30,74,kg,0,0,11,0,14.778761
144-297,硅钢片,B27P110 0.27*30*100mm,0.27,30,100,kg,0,0,10,0,14.778761
144-301,硅钢片,B27P110 0.27*90*48mm,0.27,90,48,kg,0,7,0,0,14.778761
144-302,硅钢片,B27P110 0.27*75*44mm,0.27,75,44,kg,0,0,0,220,14.224138
144-303,硅钢片,B27P110 0.27*75*28mm,0.27,75,28,kg,0,0,0,6,14.224138
144-304,硅钢片,B27P110 0.27*75*22mm,0.27,75,22,kg,0,0,0,13,14.224138
144-310,硅钢片,B27P110 0.27*50*43.5mm,0.27,50,43.5,kg,69,0,0,0,14.778761
144-312,硅钢片,B27P110 0.27*75*34mm,0.27,75,34,kg,0,0,0,80,14.224138
144-313,硅钢片,B27P110 0.27*75*40mm,0.27,75,40,kg,0,0,0,30.5,14.224138
144-314,硅钢片,B27P1100.27*75*485mm,0.27,75,485,kg,0,0,0,165,14.482759
144-315,硅钢片,B27P1100.27*50*481.5mm,0.27,50,481,kg,0,0,0,130,14.482759
